#vA= 0.500000 m/s
#vK= 0.250000 m/s
#L0= 3.000000 m
#tS= 12.000000 s
#xS= 6.000000 m
# t(s)	xAchiles(m)	xKorytnacka(m)
53.699753 26.849876 16.424938
53.799751 26.899876 16.449938
53.899750 26.949875 16.474937
53.999748 26.999874 16.499937
54.099747 27.049873 16.524937
54.199745 27.099873 16.549936
54.299744 27.149872 16.574936
54.399742 27.199871 16.599936
54.499741 27.249870 16.624935
54.599739 27.299870 16.649935
54.699738 27.349869 16.674934
54.799736 27.399868 16.699934
54.899734 27.449867 16.724934
54.999733 27.499866 16.749933
55.099731 27.549866 16.774933
55.199730 27.599865 16.799932
55.299728 27.649864 16.824932
55.399727 27.699863 16.849932
55.499725 27.749863 16.874931
55.599724 27.799862 16.899931
55.699722 27.849861 16.924931
55.799721 27.899860 16.949930
55.899719 27.949860 16.974930
55.999718 27.999859 16.999929
56.099716 28.049858 17.024929
56.199715 28.099857 17.049929
56.299713 28.149857 17.074928
56.399712 28.199856 17.099928
56.499710 28.249855 17.124928
56.599709 28.299854 17.149927
56.699707 28.349854 17.174927
56.799706 28.399853 17.199926
56.899704 28.449852 17.224926
56.999702 28.499851 17.249926
57.099701 28.549850 17.274925
57.199699 28.599850 17.299925
57.299698 28.649849 17.324924
57.399696 28.699848 17.349924
57.499695 28.749847 17.374924
57.599693 28.799847 17.399923
57.699692 28.849846 17.424923
57.799690 28.899845 17.449923
57.899689 28.949844 17.474922
57.999687 28.999844 17.499922
58.099686 29.049843 17.524921
58.199684 29.099842 17.549921
58.299683 29.149841 17.574921
58.399681 29.199841 17.599920
58.499680 29.249840 17.624920
58.599678 29.299839 17.649920
58.699677 29.349838 17.674919
58.799675 29.399837 17.699919
58.899673 29.449837 17.724918
58.999672 29.499836 17.749918
59.099670 29.549835 17.774918
59.199669 29.599834 17.799917
59.299667 29.649834 17.824917
59.399666 29.699833 17.849916
59.499664 29.749832 17.874916
59.599663 29.799831 17.899916
59.699661 29.849831 17.924915
59.799660 29.899830 17.949915
59.899658 29.949829 17.974915
59.999657 29.999828 17.999914
60.099655 30.049828 18.024914
60.199654 30.099827 18.049913
60.299652 30.149826 18.074913
60.399651 30.199825 18.099913
60.499649 30.249825 18.124912
60.599648 30.299824 18.149912
60.699646 30.349823 18.174911
60.799644 30.399822 18.199911
60.899643 30.449821 18.224911
60.999641 30.499821 18.249910
61.099640 30.549820 18.274910
61.199638 30.599819 18.299910
61.299637 30.649818 18.324909
61.399635 30.699818 18.349909
61.499634 30.749817 18.374908
61.599632 30.799816 18.399908
61.699631 30.849815 18.424908
61.799629 30.899815 18.449907
61.899628 30.949814 18.474907
61.999626 30.999813 18.499907
62.099625 31.049812 18.524906
62.199623 31.099812 18.549906
62.299622 31.149811 18.574905
62.399620 31.199810 18.599905
62.499619 31.249809 18.624905
62.599617 31.299809 18.649904
62.699615 31.349808 18.674904
62.799614 31.399807 18.699903
62.899612 31.449806 18.724903
62.999611 31.499805 18.749903
63.099609 31.549805 18.774902
63.199608 31.599804 18.799902
63.299606 31.649803 18.824902
63.399605 31.699802 18.849901
63.499603 31.749802 18.874901
63.599602 31.799801 18.899900
63.699600 31.849800 18.924900
63.799599 31.899799 18.949900
63.899597 31.949799 18.974899
